from,to,weight
10,10,77
10,107,1
10,108,15
10,109,1
10,119,2
10,139,3
10,143,16
10,144,2
10,147,10
10,152,1
10,153,2
10,154,12
10,155,9
10,165,1
10,171,4
10,173,11
10,174,27
10,189,31
10,191,4
10,192,4
10,193,23
10,204,3
10,205,1
10,27,2
10,315,5
10,400,1
10,431,2
10,460,1
10,464,1
10,484,1
10,55,2
10,6,9
10,65,6
10,66,28
10,69,2
10,73,6
10,75,1
10,76,3
10,77,5
10,8,2
10,81,1
10,89,2
10,9,18
107,107,69
107,108,2
107,110,1
107,119,8
107,139,2
107,143,3
107,144,3
107,147,3
107,153,2
107,154,6
107,155,2
107,166,4
107,170,59
107,171,11
107,173,15
107,174,20
107,189,1
107,191,14
107,192,7
107,193,11
107,204,3
107,205,1
107,27,2
107,315,1
107,415,2
107,450,1
107,460,1
107,464,1
107,484,2
107,55,1
107,6,3
107,65,1
107,66,1
107,68,1
107,69,9
107,70,1
107,73,11
107,75,4
107,77,3
107,8,6
107,81,3
107,89,1
107,9,4
108,10,7
108,108,103
108,109,3
108,110,3
108,112,1
108,115,1
108,139,7
108,140,7
108,143,2
108,144,2
108,147,7
108,153,6
108,154,11
108,155,6
108,159,9
108,165,2
108,166,1
108,171,1
108,173,5
108,174,21
108,189,16
108,191,3
108,192,2
108,193,5
108,204,6
108,205,1
108,210,2
108,2131,1
108,2143,1
108,315,23
108,400,1
108,415,1
108,431,2
108,440,1
108,443,1
108,444,9
108,450,5
108,452,4
108,460,8
108,464,3
108,480,6
108,482,1
108,484,1
108,55,3
108,6,13
108,65,10
108,66,13
108,68,2
108,69,8
108,70,4
108,73,2
108,75,3
108,76,8
108,77,3
108,8,3
108,81,1
108,89,25
108,9,1
109,10,1
109,107,1
109,108,3
109,109,64
109,110,2
109,112,1
109,114,1
109,115,1
109,139,5
109,140,11
109,143,1
109,144,1
109,152,1
109,153,3
109,154,12
109,155,7
109,159,9
109,166,5
109,170,3
109,173,8
109,174,5
109,189,4
109,191,3
109,192,3
109,204,3
109,205,3
109,210,2
109,211,1
109,2116,1
109,2131,3
109,2132,1
109,2143,1
109,2156,1
109,27,2
109,400,2
109,403,1
109,410,2
109,414,2
109,415,5
109,431,2
109,440,3
109,443,2
109,444,3
109,450,1
109,452,8
109,464,4
109,480,8
109,482,8
109,484,7
109,65,6
109,66,8
109,68,1
109,69,11
109,70,4
109,715,1
109,73,2
109,75,4
109,76,7
109,77,3
109,8,1
109,81,5
109,89,2
110,107,1
110,108,1
110,109,2
110,110,31
110,113,2
110,139,2
110,140,5
110,143,1
110,144,2
110,152,2
110,153,2
110,154,6
110,159,8
110,165,1
110,170,2
110,171,2
110,173,1
110,174,2
110,191,10
110,204,1
110,205,4
110,210,4
110,211,1
110,2131,4
110,2143,1
110,2156,1
110,400,10
110,401,1
110,403,1
110,410,1
110,414,4
110,431,1
110,440,2
110,443,3
110,444,10
110,450,3
110,452,7
110,464,3
110,480,12
110,482,2
110,484,8
110,6,1
110,65,2
110,66,7
110,68,1
110,69,9
110,70,2
110,715,4
110,73,1
110,75,3
110,76,7
110,77,1
110,8,3
110,81,7
110,89,2
110,9,1
112,10,1
112,107,10
112,109,3
112,110,3
112,112,49
112,113,3
112,115,1
112,139,3
112,140,1
112,144,13
112,147,2
112,152,4
112,153,7
112,154,2
112,155,1
112,159,1
112,165,3
112,166,8
112,170,1
112,171,4
112,173,17
112,174,13
112,189,6
112,191,4
112,192,1
112,193,3
112,204,3
112,205,23
112,210,4
112,211,7
112,2116,2
112,2132,1
112,2143,1
112,27,1
112,315,2
112,400,3
112,415,1
112,443,2
112,444,5
112,450,1
112,452,3
112,464,2
112,480,1
112,484,9
112,6,1
112,65,1
112,66,2
112,68,9
112,69,1
112,70,7
112,73,2
112,75,8
112,76,7
112,8,8
112,89,1
113,10,1
113,107,2
113,108,4
113,112,2
113,113,28
113,114,6
113,115,1
113,152,5
113,154,2
113,155,2
113,159,4
113,166,1
113,171,1
113,189,1
113,192,1
113,193,2
113,204,3
113,205,1
113,210,2
113,2132,1
113,315,1
113,400,1
113,403,1
113,443,1
113,444,1
113,452,2
113,460,1
113,464,1
113,480,6
113,482,6
113,484,4
113,6,1
113,66,1
113,68,1
113,69,1
113,70,2
113,73,2
113,75,13
113,76,2
113,77,1
113,89,1
113,9,1
114,109,1
114,113,3
114,114,13
114,115,1
114,147,1
114,153,2
114,154,4
114,166,2
114,193,1
114,210,1
114,211,1
114,315,1
114,403,1
114,452,1
114,460,1
114,464,1
114,484,4
114,65,3
114,68,7
114,69,1
114,70,4
114,75,1
114,76,7
115,113,2
115,114,1
115,115,7
115,119,1
115,159,2
115,211,1
115,2252,2
115,400,1
115,444,2
115,464,1
115,484,1
115,66,2
115,68,3
115,75,2
115,76,1
115,89,1
119,107,4
119,109,1
119,110,2
119,119,60
119,139,1
119,140,4
119,144,2
119,147,2
119,152,1
119,154,5
119,155,1
119,159,5
119,170,12
119,171,7
119,173,10
119,174,20
119,189,3
119,191,1
119,192,16
119,193,10
119,204,2
119,205,3
119,2252,1
119,400,1
119,401,1
119,410,1
119,55,12
119,6,11
119,66,4
119,69,1
119,70,2
119,73,4
119,77,1
119,8,2
119,81,5
119,9,2
139,108,9
139,109,11
139,110,1
139,112,2
139,113,1
139,119,2
139,139,34
139,140,4
139,143,3
139,147,1
139,152,1
139,153,1
139,154,2
139,159,2
139,166,2
139,170,13
139,171,4
139,174,4
139,189,7
139,191,2
139,192,1
139,193,4
139,204,4
139,205,1
139,210,1
139,315,4
139,431,1
139,443,2
139,452,7
139,460,1
139,464,3
139,480,2
139,484,4
139,6,1
139,65,2
139,66,3
139,69,4
139,70,3
139,8,2
139,81,5
139,89,11
139,9,1
140,108,6
140,109,2
140,110,1
140,112,4
140,114,1
140,115,2
140,119,1
140,139,4
140,140,61
140,147,1
140,152,1
140,153,1
140,154,7
140,155,1
140,159,2
140,166,1
140,170,3
140,189,2
140,191,4
140,192,4
140,193,1
140,204,4
140,205,1
140,210,1
140,211,2
140,400,1
140,401,1
140,403,1
140,410,2
140,415,1
140,443,1
140,444,3
140,452,1
140,460,3
140,464,6
140,480,2
140,484,15
140,6,1
140,65,8
140,66,6
140,68,1
140,69,8
140,70,2
140,75,4
140,76,6
140,8,3
140,81,5
140,89,4
143,10,20
143,108,1
143,109,2
143,139,1
143,143,41
143,144,12
143,147,4
143,153,1
143,154,14
143,155,5
143,165,2
143,166,1
143,170,2
143,171,2
143,173,12
143,174,17
143,189,39
143,191,6
143,193,20
143,204,4
143,205,1
143,315,2
143,400,2
143,410,1
143,414,1
143,450,1
143,452,1
143,460,1
143,464,1
143,55,2
143,6,29
143,65,3
143,66,17
143,69,2
143,70,2
143,76,2
143,77,4
143,8,1
143,81,5
143,89,1
143,9,27
144,10,2
144,107,3
144,108,10
144,109,1
144,110,1
144,112,21
144,119,3
144,143,6
144,144,32
144,153,1
144,154,1
144,155,2
144,159,1
144,165,2
144,166,2
144,170,16
144,173,11
144,174,25
144,189,8
144,191,5
144,192,2
144,193,14
144,204,2
144,205,1
144,210,1
144,27,4
144,315,2
144,415,1
144,444,13
144,452,1
144,460,1
144,484,10
144,55,4
144,6,4
144,66,12
144,69,3
144,70,2
144,73,15
144,76,1
144,77,2
144,8,2
144,81,2
144,89,2
144,9,3
147,10,7
147,108,5
147,110,2
147,113,2
147,139,6
147,147,43
147,154,8
147,155,4
147,159,4
147,165,1
147,170,1
147,171,1
147,173,1
147,174,5
147,189,22
147,191,2
147,193,3
147,204,1
147,205,1
147,2131,1
147,2143,1
147,315,2
147,400,6
147,410,1
147,415,1
147,431,1
147,440,2
147,460,3
147,464,2
147,55,1
147,6,4
147,65,18
147,66,15
147,716,1
147,73,1
147,75,1
147,76,5
147,77,4
147,81,1
147,89,3
147,9,5
152,10,1
152,107,1
152,110,15
152,112,9
152,113,2
152,114,2
152,115,1
152,119,3
152,152,19
152,153,8
152,154,2
152,155,1
152,159,3
152,166,1
152,171,2
152,189,2
152,192,3
152,193,2
152,204,3
152,210,1
152,211,1
152,2114,3
152,2116,2
152,315,1
152,400,2
152,403,3
152,440,2
152,452,1
152,460,1
152,480,6
152,482,6
152,484,7
152,55,1
152,66,2
152,68,6
152,70,1
152,73,1
152,75,2
152,76,4
152,8,1
153,10,2
153,107,1
153,108,7
153,109,7
153,110,5
153,112,4
153,113,1
153,140,1
153,143,1
153,144,1
153,147,1
153,152,3
153,153,37
153,154,9
153,155,2
153,159,2
153,166,5
153,173,1
153,174,2
153,189,17
153,191,4
153,193,1
153,204,2
153,210,1
153,2156,1
153,233,2
153,315,8
153,443,1
153,452,4
153,460,2
153,464,1
153,484,5
153,55,1
153,6,4
153,65,11
153,66,8
153,68,4
153,69,1
153,70,1
153,73,1
153,76,17
153,77,2
153,8,2
153,81,3
153,89,1
154,10,20
154,107,4
154,108,12
154,109,5
154,110,3
154,112,1
154,113,1
154,114,2
154,119,6
154,139,3
154,140,6
154,143,8
154,144,1
154,147,7
154,152,2
154,153,4
154,154,177
154,155,24
154,159,24
154,165,1
154,166,6
154,170,1
154,171,2
154,173,20
154,174,16
154,189,45
154,191,6
154,192,6
154,193,5
154,204,4
154,205,3
154,2114,4
154,2116,3
154,2131,6
154,2132,2
154,2143,1
154,27,3
154,315,10
154,400,35
154,401,2
154,403,2
154,410,25
154,415,13
154,431,2
154,440,13
154,443,2
154,444,20
154,450,10
154,452,11
154,460,12
154,464,5
154,480,2
154,484,10
154,55,2
154,6,6
154,65,19
154,66,21
154,68,3
154,69,6
154,70,6
154,73,4
154,75,5
154,76,12
154,77,5
154,8,12
154,801,4
154,81,3
154,89,23
154,9,4
155,10,8
155,107,2
155,108,11
155,109,3
155,110,2
155,139,2
155,140,2
155,143,7
155,144,1
155,147,7
155,153,2
155,154,20
155,155,82
155,159,8
155,165,1
155,166,1
155,170,2
155,173,7
155,174,8
155,189,17
155,193,2
155,204,4
155,205,1
155,211,1
155,2116,1
155,2131,2
155,2252,2
155,315,3
155,400,12
155,401,2
155,403,1
155,410,1
155,415,1
155,431,1
155,440,3
155,450,4
155,452,2
155,460,4
155,480,1
155,55,1
155,6,8
155,65,4
155,66,18
155,68,2
155,69,3
155,70,1
155,715,2
155,73,3
155,76,6
155,77,1
155,8,1
155,801,2
155,81,4
155,89,9
155,9,2
159,10,4
159,107,2
159,108,13
159,109,11
159,110,8
159,139,12
159,140,6
159,143,1
159,144,1
159,147,1
159,152,3
159,153,3
159,154,28
159,155,4
159,159,67
159,166,5
159,170,1
159,173,1
159,174,3
159,189,2
159,192,1
159,193,2
159,204,21
159,205,2
159,210,2
159,2114,5
159,2116,2
159,2131,2
159,2132,6
159,2143,2
159,2157,2
159,2252,1
159,27,1
159,315,2
159,400,6
159,401,3
159,403,8
159,410,6
159,415,13
159,431,5
159,440,10
159,443,12
159,444,19
159,450,4
159,452,14
159,460,10
159,464,10
159,480,1
159,482,2
159,484,27
159,65,16
159,66,3
159,68,2
159,69,1
159,70,3
159,715,8
159,75,10
159,76,23
159,77,2
159,8,6
159,89,2
159,9,3
165,107,3
165,109,1
165,114,1
165,119,1
165,139,1
165,143,1
165,147,2
165,165,23
165,166,2
165,170,5
165,171,3
165,173,8
165,174,6
165,189,7
165,191,1
165,192,1
165,193,6
165,204,3
165,205,2
165,211,1
165,315,1
165,55,1
165,6,1
165,65,1
165,66,5
165,69,2
165,73,3
165,81,12
165,89,1
166,10,4
166,107,7
166,109,2
166,110,6
166,112,17
166,119,4
166,139,2
166,140,1
166,143,1
166,144,2
166,152,1
166,153,2
166,154,5
166,155,3
166,159,4
166,165,3
166,166,82
166,170,4
166,171,3
166,173,3
166,174,2
166,189,5
166,191,2
166,192,3
166,204,3
166,205,4
166,210,9
166,211,5
166,233,1
166,27,1
166,315,1
166,400,2
166,410,1
166,415,2
166,440,1
166,444,4
166,450,2
166,452,3
166,464,5
166,480,1
166,482,2
166,484,9
166,55,1
166,6,2
166,65,5
166,66,3
166,68,6
166,69,4
166,70,20
166,715,1
166,73,3
166,75,5
166,76,8
166,77,1
166,8,21
166,81,3
166,89,4
166,9,2
170,10,1
170,107,44
170,108,2
170,109,4
170,110,3
170,112,2
170,113,1
170,114,1
170,115,2
170,119,33
170,139,4
170,140,3
170,143,4
170,144,16
170,147,1
170,152,2
170,155,1
170,165,2
170,166,2
170,170,76
170,171,7
170,173,21
170,174,38
170,189,2
170,191,13
170,192,4
170,193,8
170,205,6
170,210,1
170,211,4
170,2116,2
170,2131,1
170,2252,1
170,27,7
170,444,2
170,464,3
170,480,1
170,484,1
170,55,7
170,6,1
170,65,2
170,66,6
170,69,5
170,70,1
170,73,17
170,76,1
170,8,4
170,81,2
170,89,3
170,9,1
171,10,4
171,107,6
171,108,8
171,112,3
171,119,15
171,139,2
171,140,2
171,143,1
171,144,5
171,154,1
171,165,4
171,166,2
171,170,5
171,171,38
171,173,29
171,174,60
171,189,5
171,192,6
171,193,3
171,204,1
171,205,1
171,210,6
171,211,2
171,27,8
171,315,1
171,431,1
171,444,2
171,452,4
171,464,3
171,484,3
171,55,4
171,6,1
171,65,1
171,66,3
171,69,2
171,70,10
171,73,12
171,76,1
171,81,3
171,89,1
171,9,2
173,10,13
173,107,11
173,108,4
173,109,5
173,110,1
173,112,13
173,119,9
173,143,5
173,144,16
173,147,1
173,153,2
173,154,20
173,155,5
173,159,4
173,165,7
173,166,1
173,170,17
173,171,16
173,173,73
173,174,17
173,189,19
173,191,5
173,192,4
173,193,38
173,204,3
173,205,2
173,2143,1
173,233,3
173,27,1
173,315,5
173,400,1
173,403,1
173,415,2
173,450,4
173,484,2
173,55,10
173,6,43
173,65,2
173,66,15
173,69,7
173,70,6
173,73,5
173,76,2
173,77,9
173,8,11
173,81,2
173,89,3
173,9,10
174,10,19
174,107,13
174,108,13
174,109,1
174,110,1
174,112,26
174,119,14
174,139,2
174,143,7
174,144,25
174,147,3
174,153,5
174,154,12
174,155,8
174,159,2
174,165,7
174,166,7
174,170,13
174,171,42
174,173,21
174,174,89
174,189,40
174,191,14
174,193,27
174,204,1
174,2132,1
174,2143,1
174,2156,1
174,233,2
174,27,2
174,315,3
174,400,2
174,415,3
174,444,3
174,452,2
174,460,1
174,464,1
174,480,1
174,484,2
174,55,8
174,6,82
174,65,3
174,66,22
174,68,1
174,69,4
174,70,3
174,73,17
174,75,1
174,76,4
174,77,2
174,8,15
174,81,7
174,89,10
174,9,7
189,10,37
189,107,6
189,108,6
189,109,1
189,112,1
189,119,9
189,139,5
189,140,4
189,143,40
189,144,13
189,147,9
189,152,5
189,154,34
189,155,38
189,159,6
189,165,7
189,166,5
189,170,4
189,171,6
189,173,14
189,174,36
189,189,174
189,191,22
189,192,8
189,193,47
189,204,12
189,205,1
189,2116,2
189,2131,4
189,2132,2
189,27,1
189,315,22
189,400,15
189,401,1
189,410,3
189,414,2
189,415,8
189,431,5
189,440,3
189,444,10
189,460,4
189,464,6
189,480,1
189,482,2
189,484,7
189,55,9
189,6,38
189,65,16
189,66,13
189,68,1
189,69,1
189,70,8
189,715,1
189,716,1
189,73,6
189,75,3
189,76,7
189,77,16
189,8,11
189,81,17
189,89,14
189,9,37
191,10,10
191,107,8
191,109,3
191,110,2
191,114,1
191,119,3
191,140,2
191,143,3
191,144,2
191,152,1
191,153,4
191,154,8
191,155,4
191,159,2
191,166,3
191,170,12
191,171,1
191,173,6
191,174,7
191,189,40
191,191,57
191,192,6
191,193,16
191,204,4
191,205,1
191,211,1
191,2143,1
191,315,2
191,431,1
191,440,1
191,452,6
191,460,2
191,484,2
191,55,2
191,6,27
191,66,7
191,68,2
191,69,11
191,70,1
191,73,5
191,76,4
191,77,2
191,8,25
191,81,10
191,89,2
191,9,2
192,10,9
192,107,6
192,108,2
192,109,9
192,110,3
192,119,14
192,139,2
192,140,7
192,143,3
192,144,2
192,153,1
192,154,7
192,155,1
192,159,1
192,165,3
192,170,11
192,171,4
192,173,2
192,174,5
192,189,7
192,191,7
192,192,40
192,193,2
192,204,1
192,210,2
192,211,1
192,2131,2
192,27,2
192,315,3
192,400,5
192,415,1
192,443,1
192,444,1
192,450,2
192,452,1
192,464,3
192,484,2
192,55,4
192,6,25
192,65,3
192,66,13
192,69,16
192,70,1
192,73,2
192,75,1
192,76,2
192,8,15
192,81,29
192,89,1
192,9,3
193,10,23
193,107,7
193,108,4
193,109,1
193,112,2
193,119,8
193,139,6
193,140,4
193,143,23
193,144,22
193,147,4
193,152,2
193,154,12
193,155,8
193,159,2
193,165,4
193,166,1
193,170,9
193,171,5
193,173,25
193,174,25
193,189,61
193,191,11
193,192,2
193,193,92
193,204,3
193,2132,1
193,2157,1
193,27,4
193,315,33
193,400,2
193,410,1
193,440,2
193,443,2
193,450,1
193,452,1
193,484,1
193,55,9
193,6,54
193,66,38
193,73,55
193,76,2
193,77,5
193,8,3
193,81,6
193,89,1
193,9,16
204,10,5
204,107,5
204,108,19
204,109,1
204,110,1
204,112,2
204,113,1
204,114,1
204,119,3
204,139,2
204,143,4
204,144,4
204,147,3
204,153,3
204,154,10
204,155,6
204,159,6
204,166,1
204,171,2
204,173,1
204,174,3
204,189,9
204,191,1
